Identifier,"Source String",Translation,Context,Labels,"Max. Length"
REPORT_NOTE_48,"Due to the significant changes to the base game, this mod is best used for new games only.",ゲーム本体に大きな変更があるため、「このMODは新しいゲームで使用」することを推奨します。,REPORT_NOTE_48,,
REPORT_NOTE_49,"EDS doesn't detect the extra CitizenUnits.",EDSは拡張された、「CitizenUnitsの数値」を検出しません。,REPORT_NOTE_49,,
REPORT_NOTE_50,"Either toggle anarchy off or bulldoze trees/rocks before placing anything, to prevent trees/rocks in buildings or roads.",建物内や道路上で樹木や岩が重ならないように、「Anarchy機能をオフ」にして下さい。もしくは何かを配置する前に、「樹木や岩を撤去」して下さい。,REPORT_NOTE_50,,
REPORT_NOTE_51,"Elevated road, bridges and tunnels are separate network types and will need to be replaced separately. Read workshop page for links to replacement collections.",高架/橋/トンネルの道路は、「全て別のネットワークタイプでそれぞれで置き換える」必要があります。置き換えで使用するネットワークのコレクションは、ワークショップのページ内を確認して下さい。,REPORT_NOTE_51,,
REPORT_NOTE_52,"EML already has a better limit showing functionality.",EMLライブラリには、「オブジェクト制限の表示」機能が既にあります。,REPORT_NOTE_52,,
REPORT_NOTE_53,"EML already has the functionality of Unlimited Outside Connections.","EMLライブラリには、「Unlimited Outside Connections」機能が既にあります。",REPORT_NOTE_53,,
REPORT_NOTE_54,"EML has electrified roads functionality built-in.",EMLライブラリには、「道路を送電線化して供給」機能があります。,REPORT_NOTE_54,,
REPORT_NOTE_55,"Existing IMT 'raised meshes' (traffic islands) will not automatically have their heights adjusted. Other markings will adjust automatically.","既存のIMTで「隆起したメッシュ (traffic islands)」の高さは、自動的に調整されません。他のマーキングは自動的に調整されます。",REPORT_NOTE_55,,
REPORT_NOTE_56,"Extended InfoPanel 2 has all functionality from HideUI.","Extended InfoPanel 2には、「HideUI」機能があります。",REPORT_NOTE_56,,
REPORT_NOTE_57,"Extended InfoPanel 2 has all functionality from More Simulation Speed Options.","Extended InfoPanel 2には、「More Simulation Speed Options」機能があります。",REPORT_NOTE_57,,
REPORT_NOTE_58,"Extended InfoPanel already has Chirper move functionality.","Extended InfoPanelには、「Chirperの移動」機能があります。",REPORT_NOTE_58,,
REPORT_NOTE_59,"Find It filters don't work correctly with the Tree &amp; Vehicle Prop mod.","Find Itのフィルターは、「Tree &amp; Vehicle Prop modで変換したアイテムは正しく動作」しません。",REPORT_NOTE_59,,
REPORT_NOTE_60,"Find It has the ability to 'unlock all'. You can unsubscribe the 'Unlock All + Wonders' mod.","Find Itには「Unlock Allの機能」があります。Unlock All + Wonders MODのサブスクを解除することが可能です。",REPORT_NOTE_60,,
REPORT_NOTE_61,"Fire spreading to other buildings is included in the game itself now.",他の建物への「火災の延焼防止」機能は、ゲーム機能にあります。,REPORT_NOTE_61,,
REPORT_NOTE_62,"Firefighters might walk instead of run back to their firetruck.",消防士は消防車に戻らずに、何故か「歩いて帰還する」可能性があります。,REPORT_NOTE_62,,
REPORT_NOTE_63,"For public transport vehicles that spawn at a depot, the vehicles are listed at the depot instead of the station.",車庫や基地でスポーンする公共交通の車両は、「駅では無く車庫や基地としてリストアップ」されます。,REPORT_NOTE_63,,
REPORT_NOTE_64,"For transit hubs, this only works if the bus part is a sub-building.",公共交通の乗り換えハブの場合は、「バス部分がサブビルディング」だと機能します。,REPORT_NOTE_64,,
REPORT_NOTE_65,"FPS Booster has all functionality of Mini FPS Booster, and more.","FPS Boosterは、「Mini FPS Booster」の全機能とそれ以上の機能があります。",REPORT_NOTE_65,,
REPORT_NOTE_66,"From the main menu, the delay time in the mod options will be incorrect. While in game, the mod options do show the correct delay time, corresponding to the Real Time slowed time.","メインメニューからのMODオプションは、「遅延時間は不正確に表示される」ので注意して下さい。ゲーム内ではMODオプションは正しい遅延時間を表示して、Real Timeの遅い進行時間に対応します。",REPORT_NOTE_66,,
REPORT_NOTE_67,"Game pauses automatially when you change time, and time resets back when you unpause. Time speed options in TimeWarp will not work.",TimeWarpの「時間と速度のオプション」は既に機能していません。時間を変更すると自動的にゲームが一時停止し、解除すると時間が元に戻ります。,REPORT_NOTE_67,,
REPORT_NOTE_68,"Game pauses automatially when you change time, and time resets back when you unpause. Time speed options in Ultimate Eyecandy will not work.","Ultimate Eyecandyの「時間と速度のオプション」は既に機能していません。時間を変更すると自動的にゲームが一時停止し、解除すると時間が元に戻ります。",REPORT_NOTE_68,,
REPORT_NOTE_69,"Garbage Bin Controller breaks Harmony and any mod depending on Harmony. Switch to Garbage Bin Manager.","サブスクを解除して、「Garbage Bin Manager」に移行して下さい。Garbage Bin ControllerはHarmony自体と、Harmonyに依存する全てのMODを壊します。",REPORT_NOTE_69,,
REPORT_NOTE_70,"Harmony Redesigned might disable UI Resolution. Use the regular version of Harmony instead.","サブスクを解除して、「boformer氏のHarmony2」を使用して下さい。Harmony Redesignedは、意図的にUI Resolutionが無効になる場合があります。",REPORT_NOTE_70,,
REPORT_NOTE_71,"If contour lines doesn't work, turn off ""Overwrite Terrain"" and set the value to around 100 in ROTTERdams options.","等高線の表示がおかしい場合は、「ROTTERdamsのオプションでOverwrite Terrainをオフ」にして下さい。そして、数値を100程度で設定して下さい。",REPORT_NOTE_71,,
REPORT_NOTE_72,"If the default looks too dark, turn up the global and/or ambient light intensity settings in Ultimate Eyecandy. Shadows must be set to max using Shadow Strength Adjuster to prevent the sun from leaking through objects. To make shadows less visible, reduce global light intensity and increase ambient light intensity in Ultimate Eyecandy.","デフォルトが暗すぎる場合は、「Ultimate Eyecandyのグローバル光や環境光の強度設定を上げて」下さい。
更にオブジェクトから太陽光の漏れを防ぐために、「Shadow Strength Adjusterを使って影の強度を最大に設定」する必要があります。逆に影を目立たなくするには、「Ultimate Eyecandyでグローバル光の強度を下げて/環境光の強度を上げて」下さい。",REPORT_NOTE_72,,
REPORT_NOTE_73,"If you change graphics settings or prop visibility distance, you will have to restart the game for the decals to update.",グラフィックの設定やProp/デカールの描画距離を変更した場合は、「ゲームを再起動する必要」があります。,REPORT_NOTE_73,,
REPORT_NOTE_74,"If you change the Move It ""enhanced Pillar Control"" option your existing surface paints might disappear.","Move Itの「橋脚の制御強化」オプションを変更すると、「橋脚周辺の地表ペイントが消える」場合があります。",REPORT_NOTE_74,,
REPORT_NOTE_75,"If you create a U-turn with TM:PE lane connections, the U-turn rule will remain after you remove that lane connection. So remove it manually.",TM:PEの車線接続でUターンを作成した場合は、「該当する車線接続を削除してもUターンのルール」が残ります。そのため、交差点制御からUターンの許可を手動で削除して下さい。,REPORT_NOTE_75,,
REPORT_NOTE_76,"If you don't want fire to spread at all from tree to tree, you don't need this mod but can instead enable the game option ""No fire spread function"".",森林火災の延焼を無くしたい場合は、このMODは必要ありません。代わりにゲームオプションから、「火災の延焼防止機能をオン」にして下さい。,REPORT_NOTE_76,,
REPORT_NOTE_77,"If you enable this mod for a resource that you have industry buildings producing, the buildings will try to export all of its products. This will most likely cause the industry to be abandoned because there aren't enough buyers.","MODを有効にすると産業区画の建物などで、「全ての商品や資源を輸出しよう」とします。 ほとんどの場合で「販売先がありません」の通知アイコンが出て、産業区画の建物が放棄される原因になります。",REPORT_NOTE_77,,
REPORT_NOTE_78,"If you have issues with nature reserve paths or the topographic lines overlay, read the mod description on the Steam Workshop for fixes.",自然保護区の歩道や等高線の表示で問題が出た場合は、Steamのワークショップで説明を読んで修正を試して下さい。,REPORT_NOTE_78,,
REPORT_NOTE_79,"If you use more than one of the OxylonEuroSoundpack's, you might get one or more ""already exists"" warnings. These are harmless.","複数のOxylonEuroSoundpack'sを使用すると、 「already existsという警告が表示される」場合がありますが問題ありません。",REPORT_NOTE_79,,
REPORT_NOTE_80,"If you use this only for high resolution screenshots, you don't need this mod and can use the default Shift-F12 instead.","高解像度のスクリーンショットを撮るだけであれば、このMODは必要ありません。代わりにデフォルト機能である、Shift + F12を使用して下さい。",REPORT_NOTE_80,,
REPORT_NOTE_81,"If you want the new cubemap only by day, with the default night sky, enable the following settings for Fog Controller: ""Daynight Fog"" and ""Classic Fog"", and enable the following settings for Daylight Classic: ""Classic sunlight color"", ""Classic sunlight intensity"", ""Classic fog Effect"" and ""Allow Classic fog effect if day/night cycle is on"".","デフォルトの夜空を使用して昼間だけ新しいCubemapを使用する場合は、Fog Controllerで次の設定を有効にします。
- 「Daynight Fog」と「Classic Fog」のオプションを有効化
Daylight Classicは、次の設定を有効化します。
- 「Classic sunlight color」と「Classic sunlight intensity」と「Classic fog Effect」のオプションを有効化します。
- 更に昼夜サイクルがオンの場合は、「Classic fog Effect」を有効化して下さい。",REPORT_NOTE_81,,
REPORT_NOTE_82,"If you want to use the old props that are included in the original mod, you need to keep the original mod subscribed, but disabled. Alternatively you could move the original .crp files to your local asset folder and unsub the original mod. If you start a new city it's the best to unsubscribe the original mod and use the Ploppable Surfaces from this collection: https://steamcommunity.com/sharedfiles/filedetails/?id=2872742333","オリジナルのMODに含まれる古いPropを使用する場合は、「サブスクしたままで無効化する」必要があります。もしくは、オリジナルの.crpファイルをローカルのアセットフォルダにコピーすれば、サブスクを解除することもできます。
新規で都市を作る場合はサブスクを解除して、コレクションからPloppable Surfacesの使用を推奨します。
Ploppable Surfacesのコレクション: https://steamcommunity.com/sharedfiles/filedetails/?id=2872742333",REPORT_NOTE_82,,
REPORT_NOTE_83,"If you're unable to move props vertically with Move It, try turning prop snapping off and on again in the mod options of Prop Anarchy.","Move ItでPropが上下に動かない場合は、「Prop AnarchyのオプションからSnapping機能をオン/オフ」して再び試して下さい。",REPORT_NOTE_83,,
REPORT_NOTE_84,"IMT markings will be lost on replaced network segments and connected intersections.",置き換えたネットワークのセグメントと接続された交差点では、「IMTのマーキングが欠けたり消える」場合があります。,REPORT_NOTE_84,,
REPORT_NOTE_85,"In order to build outside connections with zonable roads outside of unlocked tiles you need to temporarily disable zoning with another mod. In the map editor the connections have to use vanilla roads, not custom roads. Intercity buses only enter the city via 1-way highway outside connections, not via any 2-way road.","アンロックしていないタイルの外側でゾーニングのある道路で外部接続を繋げたい場合は、「他のMODで一時的にゾーニングを無効化」する必要があります。マップエディタ内での外部接続は道路アセットは認識せず、「バニラ道路だけが接続する」ことが可能です。
注意事項として、都市間バスは「双方向タイプのナショナルロードは出入り」しません。更に、「一方通行で通常の高速道路だけが外部と出入り」が可能です。",REPORT_NOTE_85,,
REPORT_NOTE_86,"In Settings of ""Express Bus Services (TLM Plugin)"" the options ""Experimental"" and ""Agressive"" may cause buses to despawn if Transport Line Manager is also used. The option ""Prudential"" works as expected.","Express Bus Services (TLM Plugin) の設定で「Experimental」と「Agressive」のオプションは、Transport Line Manager使用時に「バスがデスポーンする可能性」があります。ただし、「Prudential」のオプションは期待通りに動作します。",REPORT_NOTE_86,,
REPORT_NOTE_87,"Included in base game.",ゲーム本体の機能に含まれています。,REPORT_NOTE_87,,
REPORT_NOTE_88,"Incorrectly shows as Cinematic Camera.","誤ってCinematic Camera用として表示されています。",REPORT_NOTE_88,,
REPORT_NOTE_89,"Instead of (or combined with) this mod you can download custom citizens from the Workshop for a more diverse crowd.","このMODの代わりに (または組み合わせて) ワークショップから、Citizenアセットをサブスクしてより多彩な群衆を作れます。",REPORT_NOTE_89,,
REPORT_NOTE_90,"Intended only for flat ground.",平坦な場所での使用を想定しています。,REPORT_NOTE_90,,
REPORT_NOTE_91,"Intercity buses only enter the city via 1-way highway outside connections, not via any 2-way road.",都市間バスと外部接続の出入りは通常の高速道路だけ機能して、「ナショナルロードの接続は機能」しません。,REPORT_NOTE_91,,
REPORT_NOTE_92,"IPT2 already has a (different) 'spawning delay' functionality. This works in real-time instead of game-time, and for individual depots.","IPT2には、「(別の) スポーンの遅延」機能が既にあります。これはゲーム時間で無く実時間で処理して、個々の車庫や基地に対して動作しています。",REPORT_NOTE_92,,
REPORT_NOTE_93,"It is STRONGLY recommended not to use this mod!",このMODは使用しないことを「強く推奨」します。,REPORT_NOTE_93,,
REPORT_NOTE_94,"It is strongly recommended to make a backup of an existing save before using this mod on it.",このMODを使用する前に、既存のセーブデータはバックアップを作成することを「強く推奨」します。,REPORT_NOTE_94,,
REPORT_NOTE_95,"It takes some time before the traffic starts obeying new rules. The author classifies this mod as advanced/experimental.",トラフィックが新しいルールに従うまでは、しばらく時間が掛かります。作者はMODを、先進的/実験的なものと分類しています。,REPORT_NOTE_95,,
REPORT_NOTE_96,"It's best to disable the dynamic day length option in Real Time, because Cubemap Replacer uses hard-coded times for sunset/sunrise.","Real Timeで、「Dynamic Day Lengthのオプションを無効」にした方が無難です。Cubemap Replacerの日の出/日の入は、ハードコードされた時間を使用しています。",REPORT_NOTE_96,,
REPORT_NOTE_97,"It's best to disable the dynamic day length option in Real Time, because Relight uses hard-coded times for sunset/sunrise.","Real Timeで、「Dynamic Day Lengthのオプションを無効」にした方が無難です。Relightの日の出/日の入は、ハードコードされた時間を使用しています。",REPORT_NOTE_97,,
REPORT_NOTE_98,"It's not recommended to use this in the map editor, because created maps will require Prop Anarchy.","作成されたマップでProp Anarchyが必要になるため、「マップエディタで使用することは非推奨」です。",REPORT_NOTE_98,,
REPORT_NOTE_99,"It's unclear if this actually needs the Extra Vehicle Effects mod.","これにExtra Vehicle Effects MODが、実際に必要かどうかは不明です。",REPORT_NOTE_99,,
REPORT_NOTE_100,"Lifecycle Rebalance already includes 'no deathcare' functionality.","Lifecycle Rebalanceには、「no deathcare」機能があります。",REPORT_NOTE_100,,
REPORT_NOTE_101,"Loading Screen Mod includes all functionality from Safenets, and much more.","Loading Screen Modは、「Safenets」より高機能になっています。",REPORT_NOTE_101,,
REPORT_NOTE_102,"Make historical' is part of the game itself now, but with this mod a historical building can't get abandoned.",歴史的建造物の設定はゲーム機能の一部ですが、「このMODでは歴史的建造物を放棄する」ことが出来ません。,REPORT_NOTE_102,,
REPORT_NOTE_103,"Make sure the image you use is a square, not a rectangle.",使用する画像は長方形ではなく、「正方形であることを確認」して下さい。,REPORT_NOTE_103,,
REPORT_NOTE_104,"Make sure to have the mod always on, directly from the start of a new game. Also, either fix the values from the start and leave them fixed forever, or never fix them at all. Switching between fixed and unfixed values can really throw the demand out of balance, and it might take ages for the demand to catch up.",新しいゲームの開始時から、「MODを常に有効化」して下さい。また、最初から値は永久に固定する/可変するかで、どちらかにして下さい。固定と可変を切り替えると需要のバランスが崩れて、回復するまで何年も掛かる可能性があります。,REPORT_NOTE_104,,
REPORT_NOTE_105,"Mod settings for Shadow Distance Fix reset on game load.","Shadow Distance Fixの設定が、「ゲームのロード時に毎回リセット」されます。",REPORT_NOTE_105,,
REPORT_NOTE_106,"Mods without sourcecodes and with an unclear description should better not be subscribed.",ソースコードが無いMODや、「説明文が無い/不明瞭」なものはサブスクしない方が無難です。,REPORT_NOTE_106,,
REPORT_NOTE_107,"MOM already allows you to convert train stations to metro stations.",MOM自体で鉄道用の駅から、「地下鉄用の駅に変換」することが既に可能です。,REPORT_NOTE_107,,
REPORT_NOTE_108,"MOM handles spawn points for metro, so if you have issues with metro spawns, check MOM.",MOMは地下鉄車両のスポーン地点を扱うので、「スポーンに問題がある場合はMOM自体」を確認して下さい。,REPORT_NOTE_108,,
REPORT_NOTE_109,"More Advanced OptionsPanel has the functionality of Sort Mod Settings, and more.","More Advanced OptionsPanelには、「Sort Mod Settings」の機能とそれ以上の機能があります。",REPORT_NOTE_109,,
REPORT_NOTE_110,"More Advanced OptionsPanel has the functionality of Wider OptionsPanel, and more.","More Advanced OptionsPanelには、「Wider OptionsPanel」の機能とそれ以上の機能があります。",REPORT_NOTE_110,,
REPORT_NOTE_111,"Movement speed has a significant impact on the boarding times at train and metro stations, especially for longer trains. Citizens crossing the streets slowly can lead to more stuttering of traffic, because they block the cars.",歩行速度は特に長い列車が存在すると、「鉄道駅や地下鉄駅では乗車時間に大きな影響」を与えます。そして、道路をゆっくり横断する住民が発生して、「道路交通に影響が出て渋滞を引き起こす」可能性があります。,REPORT_NOTE_111,,
REPORT_NOTE_112,"Music used with permission from the game developer, ConcernedApe, but unknown if streaming is allowed.",ストリーミングする場合は、「ゲーム開発元のConcernedApeの許可を得て」音楽が使用出来ます。ただし、ストリーミングが許可されているかは不明です。,REPORT_NOTE_112,,
REPORT_NOTE_113,"Natural Disasters Overhaul gets confused by the slower flow of time. Most notably forest fires will be much more common. Set the fire probability low as a workaround.","Natural Disasters Overhaulは、「遅い時間経過で使用すると動作がおかしく」なります。顕著な例は森林火災が多発するので、回避策として火災の発生率を低く設定して下さい。",REPORT_NOTE_113,,
REPORT_NOTE_114,"Needs a specific process to change sounds. Read workshop page carefully",サウンドを変更するには、特定の手順と操作が必要です。ワークショップのページを確認して下さい。,REPORT_NOTE_114,,
REPORT_NOTE_115,"Network Skins causes zoning glitches on CSUR roads.","Network Skinsは、「CSURの道路でゾーニング」に関する問題が発生します。",REPORT_NOTE_115,,
REPORT_NOTE_116,"Network Skins has all functionality of NoPillars.","Network Skinsは、「NoPillars」の全ての機能があります。",REPORT_NOTE_116,,
REPORT_NOTE_117,"Network Skins modifications will be lost on replaced network segments.","Network Skinの変更は、「ネットワークのセグメントをMODなどで置き換える」と設定が消えてしまいます。",REPORT_NOTE_117,,
REPORT_NOTE_118,"New skins added with Network Skins in a session do not always reflect Traffic Light Replacer changes until a game reload.","セッション中にNetwork Skinsで追加した新しいスキンは、「ゲームをリロードするまでTraffic Light Replacerの変更が反映されない」場合があります。",REPORT_NOTE_118,,
REPORT_NOTE_119,"No need to subscribe More Network Stuff, if you are not creating Maps or assets.","マップやアセットを作成しない場合は、「More Network Stuff」をサブスクする必要はありません。",REPORT_NOTE_119,,
REPORT_NOTE_120,"Node Controller already has the ability to add a crosswalk anywhere on a road.","Node Controllerには、「道路上の任意の場所に横断歩道を追加」する機能があります。",REPORT_NOTE_120,,
REPORT_NOTE_121,"Node Controller Renewal has less features, but a better UI. If you don't use the extra features, you might want to switch to Node Controller Renewal.","Node Controller Renewalだと機能は少し減りますが、UIや操作性が向上しています。他の機能を使用しない場合は、Node Controller Renewalに乗り換えることも1つの手段です。",REPORT_NOTE_121,,
REPORT_NOTE_122,"NOTE: Don't use the workaround described on the Workshop page (reloading the city), as this might cause issues with other mods.","注意！: ワークショップのページで説明されている、「回避策 (都市の再ロード) は使用しない」で下さい。他のMODで問題が発生する可能性があります。",REPORT_NOTE_122,,
REPORT_NOTE_123,"Note: The locale file will not be removed when unsubscribing. It has to be removed manually, see Workshop page.","注意！: サブスクの解除だけでは、「ロケールファイルは削除」されません。手動でロケールフォルダ内から削除する必要があります。ワークショップのページを参照して下さい。",REPORT_NOTE_123,,
REPORT_NOTE_124,"Nursing Homes will have an unneeded, blank vehicle selection window.","Nursing Homesでは、「不要な空白の車両選択ウィンドウが表示」されます。",REPORT_NOTE_124,,
REPORT_NOTE_125,"Only centered CSUR modules can create intersections with non-CSUR roads.",CSUR以外の道路と交差点を作成できるのは、「中央にあるCSURモジュール」のみです。,REPORT_NOTE_125,,
REPORT_NOTE_126,"Painted surfaces might reset when subscribing to anything while the game is running.",ゲーム実行中に何かサブスクの操作をすると、「地表ペイントがリセットされる」ことがあります。,REPORT_NOTE_126,,
REPORT_NOTE_127,"Painter breaks Harmony and any mod depending on Harmony. Switch to Repaint.",サブスクを解除して、「Repaintに移行」して下さい。PainterはHarmony自体と、Harmonyに依存する全てのMODを壊します。,REPORT_NOTE_127,,
REPORT_NOTE_128,"Picker picking a different object when Dynamic Asset sorter changes the order of items.","Dynamic Asset sorterでアイテムの順序を変更すると、「Pickerが異なるオブジェクトを選択」します。",REPORT_NOTE_128,,
REPORT_NOTE_129,"Placed 'NTCP' props show as missing props in Loading Screen Mod. This is a false alert and can be ignored.","「NTCP」で配置したPropが、「Loading Screen Modで不足」として表示されます。これは誤った通知なので無視して構いません。",REPORT_NOTE_129,,
REPORT_NOTE_130,"Play It already has game speed functionality.","Play Itには、ゲームスピードの調整機能を既に備えています。",REPORT_NOTE_130,,
REPORT_NOTE_131,"Play It has more extensive weather options.","Play Itには、「多様な気象や天候操作」機能があります。",REPORT_NOTE_131,,
REPORT_NOTE_132,"Play It has most functionality of Ultimate Eyecandy. Combine Play It with Render It and Theme Mixer 2 for full replacement functionality.","Play Itには、「Ultimate Eyecandy」のほとんどの機能があります。更にPlay It ＆ Render It ＆ Theme Mixer 2を使用すれば、完全な置き換えが可能です。",REPORT_NOTE_132,,
REPORT_NOTE_133,"Please note that RT mod compatibility is in beta and there may be bugs present.","RT MODの互換性はベータ版扱いであり、「バグが存在する可能性」があります。",REPORT_NOTE_133,,
REPORT_NOTE_134,"Ploppable RICO now has the functionality of Grow the Ploppables. Using both mods together is possible, but may give inconsistent results unless your settings are aligned. Removing Grow the Ploppables is recommended, but if done on an existing game you have to make sure that the settings of both mods are the same.","Ploppable RICOには、「Grow the Ploppables」の全機能が既にあります。2つのMODを併用することも可能ですが、設定が不適切だと建物がデスポーンする可能性があります。
現在はGrow the Ploppablesの使用は非推奨ですが、既存のゲームで使う場合は「両方のMODで設定を統一」して下さい。",REPORT_NOTE_134,,
REPORT_NOTE_135,"Prop Anarchy already has a better prop painting functionality.","Prop Anarchyには、「Propのペイント」機能があります。",REPORT_NOTE_135,,
REPORT_NOTE_136,"Prop Anarchy already has prop scaling functionality.","Prop Anarchyには、「Propの拡大縮小」機能があります。",REPORT_NOTE_136,,
REPORT_NOTE_137,"Prop Anarchy already has the transparency LOD fix.","Prop Anarchyには、「transparency LOD fix」機能があります。",REPORT_NOTE_137,,
REPORT_NOTE_138,"Prop hiding has been removed from this mod, but is available in the BOB mod.",Propの非表示機能はMODから削除されましたが、「BOBで代替え」可能です。,REPORT_NOTE_138,,
REPORT_NOTE_139,"Prop Painter was not updated to recent Move It updates, creating issues for any mod that try to integrate with Move It.","Prop Painterは、「最新のMove Itのアップデートに未対応」です。Move Itの統合機能を使用する、「全てMODで問題」が発生します。",REPORT_NOTE_139,,
REPORT_NOTE_140,"Real City doesn't detect the extra CitizenUnits.","Real Cityは拡張された、「CitizenUnitsを検出」しません。",REPORT_NOTE_140,,
REPORT_NOTE_141,"Real Time is meant for cities with a population of up to 65.000 (it can be used on larger cities but there might be issues). Real Time completely changes the simulation, which makes it incompatible with a lot of other mods, especially those that alter or depend on time progression.","Real Timeは、「人口65,000人までの都市を想定」しています。 (それ以上の人口でも使用できますが、問題があるかも知れません)
Real Timeは都市のシミュレーションを完全に変更するため、「他のMODで互換性に問題が出る」場合があります。特に時間経過を調整/変更したり、それらに依存するMODとは互換性がありません。",REPORT_NOTE_141,,
REPORT_NOTE_142,"Real Time might delay the arrival of extra Starting Money.","Real Timeでは、「追加した開始資金の補充が遅れる」可能性があります。",REPORT_NOTE_142,,
REPORT_NOTE_143,"Realistic Population includes a 'no deathcare' functionality.","Realistic Population includes a 'no deathcare' functionality.",REPORT_NOTE_143,,
REPORT_NOTE_144,"Render It already has shadow strength functionality.","Render Itには、「影部分の強度調整」機能が既にあります。",REPORT_NOTE_144,,
REPORT_NOTE_145,"Replacing road arrows with Prop Switcher is not recommended and might give an 'array out of bounds' error.","Prop Switcherで、「道路の路面矢印を置き換えることは非推奨」です。また、「array out of boundsのエラーが発生」する場合があります。",REPORT_NOTE_145,,
REPORT_NOTE_146,"Require removing all dependent assets before removing the mod. Button for that is in options of the mod.",MODを削除する前に、「依存するアセットを全て削除」する必要があります。そのためのボタンは、MODのオプション内にあります。,REPORT_NOTE_146,,
REPORT_NOTE_147,"Roads outside of the central 25 tiles area must have zoning disabled. Buildings that consume water cannot be constructed outside the central 25 tiles area.",中央25タイルからエリアの外側は、「道路のゾーニングを無効化して配置」する必要があります。更にエリアの外側で、「水道を消費する建物は設置」することが出来ません。,REPORT_NOTE_147,,
REPORT_NOTE_148,"Service Vehicle Selector 2 blocks Theme Mixer 2 for some players to be able to change the Theme textures.","Service Vehicle Selector 2がTheme Mixer 2をブロックして、「一部のプレーヤーがテーマのテクスチャを変更」できるようします。",REPORT_NOTE_148,,
REPORT_NOTE_149,"Service Vehicle Selector has all functionality of RiverCargoHarborMod. Unsubscribe the latter.","Service Vehicle Selectorには、「RiverCargoHarborMod」の機能があるので後者のサブスクを解除して下さい。",REPORT_NOTE_149,,
REPORT_NOTE_150,"Setting traffic lights or priority signs with TM:PE on train tracks will not work. Other settings do work.",TM:PEで信号機や優先標識の設定は、「線路や軌道で使用しても機能」しません。他の設定や機能は動作します。,REPORT_NOTE_150,,
REPORT_NOTE_151,"Several users report that Parallel Road Tool won't work with Network Skins subscribed.","複数のユーザーが報告: Network Skinsをサブスクしていると、「Parallel Road Toolが動作しない」という報告があります。",REPORT_NOTE_151,,
REPORT_NOTE_152,"Several users report using these together without issues.","複数のユーザーが報告: これらのMODを一緒に、「併用しても問題無い」という報告があります。",REPORT_NOTE_152,,
REPORT_NOTE_153,"Shared Stops can't be created on CSUR express roads (it does work on regular and compact roads).","CSURの高速道路では、「Shared Stopsは作成」できません。 (通常の道路とコンパクトな道路は機能します)",REPORT_NOTE_153,,
REPORT_NOTE_154,"SharedStopEnabler has the functionality to create elevated stops.",SharedStopEnablerは、「高架や橋に停車場所の設定」機能があります。,REPORT_NOTE_154,,
REPORT_NOTE_155,"Some assets are not compatible with PO, including most vanilla props and all terrain-conforming props and buildings. These will disappear after conversion.",一部のアセットはPOと互換性が無く、「大半のバニラPropと地形に追従する全てのPropと建物」が該当します。これらのアイテムは、POオブジェクトに変換すると消えます。,REPORT_NOTE_155,,
REPORT_NOTE_156,"Some features of Camera Positions Utility won't work when in first person mode. Furthermore, the FOV features of Camera Positions Utility will be disabled.","Camera Positions Utilityの一部の機能は、「FPSモード」では動作しません。また、Camera Positions UtilityのFOV機能は無効化されます。",REPORT_NOTE_156,,
REPORT_NOTE_157,"Some features of TM:PE work on reversible tram tracks, but not all.",TM:PEの一部の機能は、「折り返し可能なトラム用の軌道」でも動作します。ただし、全てが機能するわけではありません。,REPORT_NOTE_157,,
REPORT_NOTE_158,"Some functions will not work for locally installed assets: sort by recent download, search by author name, open Workshop page.",ローカルで導入したアセットは、「一部の機能が動作」しません。最近DLした順のソート/作者名の検索/ワークショップのページを開く機能は、正しく動作しません。,REPORT_NOTE_158,,
REPORT_NOTE_159,"Some roads from Network Extensions spawn the wrong or an extra traffic light.","Network Extensionsの一部の道路では、間違った信号機や不要な信号機を生成します。",REPORT_NOTE_159,,
REPORT_NOTE_160,"Some roads from Network Extensions spawn the wrong or no traffic light.","Network Extensionsの一部の道路では、間違った信号機が発生したり必要な信号機を生成しません。",REPORT_NOTE_160,,
REPORT_NOTE_161,"Some roads from Network Extensions spawn the wrong traffic light.","Network Extensionsの一部の道路では、間違った信号機が発生します。",REPORT_NOTE_161,,
REPORT_NOTE_162,"Some textures on Network Extensions roads might not load.","Network Extensionsで、一部のテクスチャがロードされない可能性があります。",REPORT_NOTE_162,,
REPORT_NOTE_163,"Some user get these to work together.",一部のユーザーは、これらを一緒に動作させているようです。,REPORT_NOTE_163,,
REPORT_NOTE_164,"Some Workshop roads with non-standard curb heights will not have their curb height adjusted by this mod. Decals and terrain-conforming props placed on the road surface, will automatically adjust to the new height. Ploppable surfaces and other non-terrain-conforming props will need to be manually moved up/down.","ワークショップの道路アセットで縁石の仕様が標準では無い場合は、「MODで縁石の高さを調整」することが出来ません。
路面に配置したデカールや地形に追従するPropは、「自動的に新しい高さで調整」されます。ただし、Ploppable surfacesや地形に追従しないPropは、「それぞれ手動で上下に調整」する必要があります。",REPORT_NOTE_164,,
REPORT_NOTE_165,"Spawn points for cargo trucks are not supported on cargo train stations, cargo airports or cargo harbors.",貨物トラックのスポーン地点の設定は、「貨物駅/貨物空港/貨物港」はサポートされていません。,REPORT_NOTE_165,,
